TiO2
6/5/2025 9:34:02 AM
Wavelength (nm),%Reflectance
800.00,72.033421
798.00,71.462335
796.00,72.092549
794.00,72.013138
792.00,72.481190
790.00,72.770152
788.00,72.535999
786.00,72.142052
784.00,71.597751
782.00,71.451203
780.00,73.051929
778.00,72.633112
776.00,72.356323
774.00,73.781707
772.00,73.518903
770.00,72.561181
768.00,72.491032
766.00,72.935468
764.00,73.040215
762.00,72.704215
760.00,73.290592
758.00,73.335512
756.00,73.677756
754.00,73.362771
752.00,73.106032
750.00,73.064608
748.00,72.541232
746.00,73.120380
744.00,73.227017
742.00,72.118712
740.00,72.755169
738.00,72.941781
736.00,73.309765
734.00,72.363929
732.00,72.993725
730.00,73.229464
728.00,72.748412
726.00,72.647911
724.00,72.800019
722.00,72.288160
720.00,73.001722
718.00,73.486559
716.00,72.655014
714.00,73.108171
712.00,73.381231
710.00,72.820951
708.00,72.537459
706.00,72.846157
704.00,72.996659
702.00,72.739366
700.00,73.126566
698.00,73.307917
696.00,73.454043
694.00,72.442028
692.00,72.868235
690.00,73.015570
688.00,73.097720
686.00,72.775349
684.00,72.827589
682.00,72.789047
680.00,73.085701
678.00,72.942453
676.00,73.153531
674.00,73.125945
672.00,72.825614
670.00,73.398665
668.00,73.283113
666.00,73.418912
664.00,73.050758
662.00,73.136929
660.00,73.027510
658.00,73.844537
656.00,72.818950
654.00,73.245165
652.00,73.130890
650.00,73.042533
648.00,72.822909
646.00,73.072159
644.00,72.547563
642.00,72.849027
640.00,72.529348
638.00,72.938424
636.00,73.182825
634.00,73.251317
632.00,73.665096
630.00,72.820152
628.00,72.545664
626.00,73.846611
624.00,73.675554
622.00,72.932064
620.00,73.177378
618.00,72.587899
616.00,72.862940
614.00,72.907056
612.00,72.525335
610.00,73.120964
608.00,73.166714
606.00,72.716667
604.00,73.236746
602.00,72.871324
600.00,73.030970
598.00,72.815652
596.00,73.108743
594.00,73.207267
592.00,73.361452
590.00,72.760045
588.00,73.205671
586.00,72.463338
584.00,73.045292
582.00,72.957625
580.00,72.605056
578.00,72.370555
576.00,72.762386
574.00,72.478493
572.00,72.458668
570.00,72.831742
568.00,72.851594
566.00,72.380003
564.00,72.516624
562.00,72.850139
560.00,72.581268
558.00,72.440502
556.00,72.089886
554.00,72.608958
552.00,72.764456
550.00,72.283257
548.00,72.277622
546.00,72.486138
544.00,72.030402
542.00,72.297660
540.00,72.684779
538.00,72.340256
536.00,72.100924
534.00,72.283471
532.00,72.424911
530.00,71.808209
528.00,72.580967
526.00,72.500818
524.00,72.352584
522.00,72.235931
520.00,71.916063
518.00,72.446530
516.00,72.432238
514.00,72.142653
512.00,71.985859
510.00,72.198615
508.00,72.282879
506.00,72.078305
504.00,71.957998
502.00,72.082763
500.00,71.768369
498.00,71.703339
496.00,72.241435
494.00,71.465303
492.00,71.925886
490.00,71.868202
488.00,71.958882
486.00,71.726559
484.00,72.121312
482.00,72.491932
480.00,72.122204
478.00,71.909117
476.00,71.986753
474.00,71.886351
472.00,72.293935
470.00,72.064751
468.00,72.035839
466.00,72.271755
464.00,72.168893
462.00,72.200907
460.00,72.336479
458.00,72.492744
456.00,72.332587
454.00,72.314744
452.00,72.643072
450.00,72.155761
448.00,72.517724
446.00,72.768633
444.00,72.565846
442.00,72.241491
440.00,72.601484
438.00,72.725275
436.00,72.510865
434.00,72.706473
432.00,72.561172
430.00,72.389709
428.00,71.987482
426.00,71.784605
424.00,71.966228
422.00,71.684211
420.00,71.702392
418.00,71.563524
416.00,71.165145
414.00,70.737210
412.00,70.094569
410.00,69.650440
408.00,67.828084
406.00,67.311553
404.00,66.642146
402.00,65.030340
400.00,63.855625
398.00,61.982810
396.00,60.252142
394.00,59.040554
392.00,57.291326
390.00,55.571344
388.00,53.583125
386.00,52.889910
384.00,51.498613
382.00,50.439180
380.00,48.509977
378.00,47.689477
376.00,47.117694
374.00,46.559793
372.00,45.087784
370.00,43.480177
368.00,42.591339
366.00,41.950983
364.00,40.268890
362.00,39.027699
360.00,38.629865
358.00,37.340271
356.00,36.635348
354.00,35.791788
352.00,35.327373
350.00,34.551728
348.00,34.010458
346.00,33.933364
344.00,33.349894
342.00,32.877511
340.00,32.559707
338.00,33.037884
336.00,32.209376
334.00,31.231940
332.00,31.484587
330.00,31.174008
328.00,30.620651
326.00,30.459857
324.00,30.346051
322.00,30.684233
320.00,30.227858
318.00,30.225901
316.00,30.264222
314.00,30.395125
312.00,30.636367
310.00,30.554583
308.00,30.888483
306.00,30.655943
304.00,30.565563
302.00,30.785387
300.00,30.653527
298.00,30.850780
296.00,31.095854
294.00,31.168385
292.00,31.183537
290.00,31.491183
288.00,31.379085
286.00,31.624112
284.00,31.801150
282.00,31.893219
280.00,32.101525
278.00,31.978925
276.00,32.165709
274.00,32.347177
272.00,32.438455
270.00,32.781152
268.00,32.823734
266.00,33.122509
264.00,33.054064
262.00,33.217772
260.00,33.517237
258.00,33.979344
256.00,34.056898
254.00,33.878099
252.00,33.867330
250.00,34.038715
248.00,34.006861
246.00,34.611662
244.00,34.332385
242.00,34.748096
240.00,35.100985
238.00,35.516481
236.00,35.935684
234.00,36.571721
232.00,37.030876
230.00,37.738750
228.00,38.769642
226.00,39.393095
224.00,40.306417
222.00,40.948827
220.00,41.199870
218.00,42.009683
216.00,42.817347
214.00,42.727022
212.00,43.689493
210.00,45.232365
208.00,45.741883
206.00,46.611918
204.00,47.173737
202.00,48.200197
200.00,50.664695
